FT_ID,HT_NAME,FT_NAME
*03e75*,Nikola Jokic,Nikola Jokic
*04kj6*,Luka Doncic,Luka Doncic
*03al2*,Joel Embiid,Joel Embiid
*031m2*,Giannis Antetokounmpo,Giannis Antetokounmpo
*05qtv*,Tyrese Haliburton,Tyrese Haliburton
*02nf1*,Anthony Davis,Anthony Davis
*042n7*,Domantas Sabonis,Domantas Sabonis
*05qto*,LaMelo Ball,LaMelo Ball
*03xmv*,Jayson Tatum,Jayson Tatum
*04qro*,Shai Gilgeous-Alexander,Shai Gilgeous-Alexander
*0011e*,LeBron James,LeBron James
*027oj*,Kyrie Irving,Kyrie Irving
*04qrk*,Trae Young,Trae Young
*01enh*,Stephen Curry,Stephen Curry
*03nwm*,Devin Booker,Devin Booker
*02nf6*,Damian Lillard,Damian Lillard
*01eo6*,James Harden,James Harden
*051oi*,Ja Morant,Ja Morant
*04ewe*,Donovan Mitchell,Donovan Mitchell
*001aw*,Kevin Durant,Kevin Durant
*05qug*,Anthony Edwards,Anthony Edwards
*042nq*,Dejounte Murray,Dejounte Murray
*042nm*,Pascal Siakam,Pascal Siakam
*051oh*,Zion Williamson,Zion Williamson
*03ad3*,Karl-Anthony Towns,Karl-Anthony Towns
*06cch*,Victor Wembanyama,Victor Wembanyama
*04ewf*,Bam Adebayo,Bam Adebayo
*027pe*,Jimmy Butler,Jimmy Butler
*027oz*,Kawhi Leonard,Kawhi Leonard
*049kb*,De'Aaron Fox,De'Aaron Fox
*03lls*,Jaylen Brown,Jaylen Brown
*04qsa*,Jalen Brunson,Jalen Brunson
*03ajv*,Julius Randle,Julius Randle
*04qrn*,Mikal Bridges,Mikal Bridges
*051ol*,Darius Garland,Darius Garland
*05uid*,Evan Mobley,Evan Mobley
*04qrj*,Jaren Jackson Jr.,Jaren Jackson
*05uib*,Cade Cunningham,Cade Cunningham
*05uie*,Scottie Barnes,Scottie Barnes
*01uyj*,Paul George,Paul George
*027p0*,Nikola Vucevic,Nikola Vucevic
*04azw*,Lauri Markkanen,Lauri Markkanen
*05qt3*,Desmond Bane,Desmond Bane
*01eon*,DeMar DeRozan,DeMar DeRozan
*0621l*,Walker Kessler,Walker Kessler
*042n4*,Jamal Murray,Jamal Murray
*049kd*,Deandre Ayton,Deandre Ayton
*05uig*,Josh Giddey,Josh Giddey
*04848*,Fred VanVleet,Fred VanVleet
*05uiq*,Alperen Sengün,Alperen Sengun
*03el5*,Kristaps Porzingis,Kristaps Porzingis
*051pb*,Nicolas Claxton,Nicolas Claxton
*042n6*,Jakob Poeltl,Jakob Poeltl
*04ewr*,Kyle Kuzma,Kyle Kuzma
*042n1*,Brandon Ingram,Brandon Ingram
*03ams*,Zach LaVine,Zach LaVine
*03ad2*,Myles Turner,Myles Turner
*05qsq*,Tyrese Maxey,Tyrese Maxey
*02xg9*,Rudy Gobert,Rudy Gobert
*06211*,Chet Holmgren,Chet Holmgren
*04ewm*,Jarrett Allen,Jarrett Allen
*051p8*,Jordan Poole,Jordan Poole
*06210*,Paolo Banchero,Paolo Banchero
*031lx*,CJ McCollum,CJ McCollum
*04ewn*,OG Anunoby,OG Anunoby
*04qs1*,Anfernee Simons,Anfernee Simons
*02nf3*,Bradley Beal,Bradley Beal
*03e6s*,Clint Capela,Clint Capela
*03nwl*,Terry Rozier,Terry Rozier
*03ad0*,Tyus Jones,Tyus Jones
*05qtr*,Devin Vassell,Devin Vassell
*051pi*,Daniel Gafford,Daniel Gafford
*03lg1*,Ben Simmons,Ben Simmons
*0017e*,Chris Paul,Chris Paul
*01eo9*,Jrue Holiday,Jrue Holiday
*0621e*,Mark Williams,Mark Williams
*049s6*,Markelle Fultz,Markelle Fultz
*04qsd*,Mitchell Robinson,Mitchell Robinson
*05uii*,Franz Wagner,Franz Wagner
*051ot*,Tyler Herro,Tyler Herro
*03e6n*,Jusuf Nurkic,Jusuf Nurkic
*005kc*,Russell Westbrook,Russell Westbrook
*04ewu*,Josh Hart,Josh Hart
*03ad4*,D'Angelo Russell,D'Angelo Russell
*031lz*,Steven Adams,Steven Adams
*0621b*,Jalen Williams,Jalen Williams
*027ou*,Klay Thompson,Klay Thompson
*04qrl*,Wendell Carter Jr.,Wendell Carter
*0621c*,Jalen Duren,Jalen Duren
*02ym0*,Andrew Wiggins,Andrew Wiggins
*05qtt*,Onyeka Okongwu,Onyeka Okongwu
*03e74*,Spencer Dinwiddie,Spencer Dinwiddie
*027oo*,Jonas Valanciunas,Jonas Valanciunas
*03al0*,Aaron Gordon,Aaron Gordon
*03aq2*,Jerami Grant,Jerami Grant
*03nwn*,Bobby Portis,Bobby Portis
*06cdn*,Scoot Henderson,Scoot Henderson
*06212*,Jabari Smith Jr.,Jabari Smith
*005ki*,Brook Lopez,Brook Lopez
*051or*,Cameron Johnson,Cameron Johnson
*04ewc*,Zach Collins,Zach Collins
*02ng3*,Khris Middleton,Khris Middleton
*042nt*,Ivica Zubac,Ivica Zubac
*04qrp*,Miles Bridges,Miles Bridges
*06218*,Jeremy Sochan,Jeremy Sochan
*051os*,P.J. Washington,P.J. Washington
*027p4*,Tobias Harris,Tobias Harris
*04ewk*,John Collins,John Collins
*04qs4*,Robert Williams III,Robert Williams
*04qrr*,Michael Porter Jr.,Michael Porter
*02nfz*,Draymond Green,Draymond Green
*06cc8*,Dereck Lively II,Dereck Lively
*05qtq*,Tre Jones,Tre Jones
*06214*,Jaden Ivey,Jaden Ivey
*0015e*,Mike Conley,Mike Conley
*03byk*,Jordan Clarkson,Jordan Clarkson
*051p9*,Keldon Johnson,Keldon Johnson
*05qu9*,Immanuel Quickley,Immanuel Quickley
*000zv*,Al Horford,Al Horford
*04qsj*,Bruce Brown,Bruce Brown
*05uus*,Austin Reaves,Austin Reaves
*04ewt*,Derrick White,Derrick White
*05uic*,Jalen Green,Jalen Green
*03al1*,Marcus Smart,Marcus Smart
*03aq3*,Kyle Anderson,Kyle Anderson
*0621g*,Tari Eason,Tari Eason
*06213*,Keegan Murray,Keegan Murray
*027pg*,Bojan Bogdanovic,Bojan Bogdanovic
*03ad7*,Kevon Looney,Kevon Looney
*04qsm*,De'Anthony Melton,De'Anthony Melton
*042n3*,Buddy Hield,Buddy Hield
*04qsi*,Jarred Vanderbilt,Jarred Vanderbilt
*051oj*,RJ Barrett,RJ Barrett
*04qrw*,Kevin Huerter,Kevin Huerter
*05qsx*,Obi Toppin,Obi Toppin
*05qt0*,Saddiq Bey,Saddiq Bey
*031m9*,Mason Plumlee,Mason Plumlee
*05uir*,Trey Murphy III,Trey Murphy
*06ccf*,Ausar Thompson,Ausar Thompson
*051on*,Coby White,Coby White
*05qst*,Paul Reed,Paul Reed
*05uj9*,Herbert Jones,Herbert Jones
*06216*,Shaedon Sharpe,Shaedon Sharpe
*05qu0*,Jaden McDaniels,Jaden McDaniels
*05qtj*,Deni Avdija,Deni Avdija
*03e6u*,Bogdan Bogdanovic,Bogdan Bogdanovic
*06cca*,Brandon Miller,Brandon Miller
*06ca8*,Amen Thompson,Amen Thompson
*03r7z*,Norman Powell,Norman Powell
*05qub*,Isaiah Stewart,Isaiah Stewart
*05qtl*,Cole Anthony,Cole Anthony
*0015b*,Kyle Lowry,Kyle Lowry
*042nf*,Caris LeVert,Caris LeVert
*04qrm*,Collin Sexton,Collin Sexton
*05uif*,Jalen Suggs,Jalen Suggs
*031lv*,Kentavious Caldwell-Pope,Kentavious Caldwell-Pope
*04qs9*,Jevon Carter,Jevon Carter
*031m4*,Dennis Schröder,Dennis Schroder
*055qo*,Caleb Martin,Caleb Martin
*042ne*,Malik Beasley,Malik Beasley
*0527l*,Luguentz Dort,Luguentz Dort
*02nf7*,Harrison Barnes,Harrison Barnes
*03r7u*,Josh Richardson,Josh Richardson
*04ex8*,Dillon Brooks,Dillon Brooks
*051p1*,Brandon Clarke,Brandon Clarke
*04ex6*,Isaiah Hartenstein,Isaiah Hartenstein
*05uiu*,Jalen Johnson,Jalen Johnson
*03r7h*,Delon Wright,Delon Wright
*04qru*,Donte DiVincenzo,Donte DiVincenzo
*06215*,Bennedict Mathurin,Bennedict Mathurin
*042nw*,Malcolm Brogdon,Malcolm Brogdon
*049ki*,Marvin Bagley III,Marvin Bagley
*038xi*,Robert Covington,Robert Covington
*04qse*,Gary Trent Jr.,Gary Trent
*05qsl*,Patrick Williams,Patrick Williams
*01uz7*,Gordon Hayward,Gordon Hayward
*05qtd*,Nick Richards,Nick Richards
*051ok*,De'Andre Hunter,De'Andre Hunter
*05qu1*,James Wiseman,James Wiseman
*0558t*,Max Strus,Max Strus
*0496e*,Alex Caruso,Alex Caruso
*051pa*,Kevin Porter Jr.,Kevin Porter
*04ewb*,Jonathan Isaac,Jonathan Isaac
*051ps*,Terance Mann,Terance Mann
*05uiz*,Quentin Grimes,Quentin Grimes
*051p0*,Matisse Thybulle,Matisse Thybulle
*049kc*,Malik Monk,Malik Monk
*05uih*,Jonathan Kuminga,Jonathan Kuminga
*06cab*,Jarace Walker,Jarace Walker
*05uiw*,Isaiah Jackson,Isaiah Jackson
*03r7v*,Pat Connaughton,Pat Connaughton
*01ens*,Patrick Beverley,Patrick Beverley
*03r7l*,Larry Nance Jr.,Larry Nance
*05uj4*,Santi Aldama,Santi Aldama
*042n2*,Kris Dunn,Kris Dunn
*031mb*,Tim Hardaway Jr.,Tim Hardaway
*0621u*,Andrew Nembhard,Andrew Nembhard
*04t8w*,Kenrich Williams,Kenrich Williams
*02nfy*,Jae Crowder,Jae Crowder
*04qrx*,Josh Okogie,Josh Okogie
*051op*,Rui Hachimura,Rui Hachimura
*05qti*,Josh Green,Josh Green
*005l0*,Nicolas Batum,Nicolas Batum
*051p2*,Grant Williams,Grant Williams
*051pq*,Talen Horton-Tucker,Talen Horton-Tucker
*05uul*,Jose Alvarado,Jose Alvarado
*04jw4*,Maxi Kleber,Maxi Kleber
*05g3q*,Gabe Vincent,Gabe Vincent
*051pg*,Cody Martin,Cody Martin
*031m0*,Kelly Olynyk,Kelly Olynyk
*05uip*,Corey Kispert,Corey Kispert
*0527h*,Naz Reid,Naz Reid
*06cby*,Keyonte George,Keyonte George
*06cc5*,Anthony Black,Anthony Black
*02nf9*,Andre Drummond,Andre Drummond
*04fj8*,Chris Boucher,Chris Boucher
*04jwd*,Royce O'Neale,Royce O'Neale
*03r7r*,Richaun Holmes,Richaun Holmes
*04ewd*,Luke Kennard,Luke Kennard
*05ujc*,Ayo Dosunmu,Ayo Dosunmu
*06cc1*,Bilal Coulibaly,Bilal Coulibaly
*05uj0*,Bones Hyland,Bones Hyland
*027oy*,Marcus Morris Sr.,Marcus Morris
*03nwq*,Christian Wood,Christian Wood
