"Date","Team","Opponent","Home_Away","idTeam","cityTeam","teamName"
2023-10-24,"Los Angeles Lakers","Denver Nuggets","Away",1610612747,"Los Angeles","Lakers"
2023-10-24,"Denver Nuggets","Los Angeles Lakers","Home",1610612743,"Denver","Nuggets"
2023-10-24,"Phoenix Suns","Golden State Warriors","Away",1610612756,"Phoenix","Suns"
2023-10-24,"Golden State Warriors","Phoenix Suns","Home",1610612744,"Golden State","Warriors"
2023-10-25,"Houston Rockets","Orlando Magic","Away",1610612745,"Houston","Rockets"
2023-10-25,"Orlando Magic","Houston Rockets","Home",1610612753,"Orlando","Magic"
2023-10-25,"Boston Celtics","New York Knicks","Away",1610612738,"Boston","Celtics"
2023-10-25,"New York Knicks","Boston Celtics","Home",1610612752,"New York","Knicks"
2023-10-25,"Washington Wizards","Indiana Pacers","Away",1610612764,"Washington","Wizards"
2023-10-25,"Indiana Pacers","Washington Wizards","Home",1610612754,"Indiana","Pacers"
2023-10-25,"Atlanta Hawks","Charlotte Hornets","Away",1610612737,"Atlanta","Hawks"
2023-10-25,"Charlotte Hornets","Atlanta Hawks","Home",1610612766,"Charlotte","Hornets"
2023-10-25,"Detroit Pistons","Miami Heat","Away",1610612765,"Detroit","Pistons"
2023-10-25,"Miami Heat","Detroit Pistons","Home",1610612748,"Miami","Heat"
2023-10-25,"Minnesota Timberwolves","Toronto Raptors","Away",1610612750,"Minnesota","Timberwolves"
2023-10-25,"Toronto Raptors","Minnesota Timberwolves","Home",1610612761,"Toronto","Raptors"
2023-10-25,"Cleveland Cavaliers","Brooklyn Nets","Away",1610612739,"Cleveland","Cavaliers"
2023-10-25,"Brooklyn Nets","Cleveland Cavaliers","Home",1610612751,"Brooklyn","Nets"
2023-10-25,"New Orleans Pelicans","Memphis Grizzlies","Away",1610612740,"New Orleans","Pelicans"
2023-10-25,"Memphis Grizzlies","New Orleans Pelicans","Home",1610612763,"Memphis","Grizzlies"
2023-10-25,"Oklahoma City Thunder","Chicago Bulls","Away",1610612760,"Oklahoma City","Thunder"
2023-10-25,"Chicago Bulls","Oklahoma City Thunder","Home",1610612741,"Chicago","Bulls"
2023-10-25,"Sacramento Kings","Utah Jazz","Away",1610612758,"Sacramento","Kings"
2023-10-25,"Utah Jazz","Sacramento Kings","Home",1610612762,"Utah","Jazz"
2023-10-25,"Dallas Mavericks","San Antonio Spurs","Away",1610612742,"Dallas","Mavericks"
2023-10-25,"San Antonio Spurs","Dallas Mavericks","Home",1610612759,"San Antonio","Spurs"
2023-10-25,"Portland Trail Blazers","Los Angeles Clippers","Away",1610612757,"Portland","Trail Blazers"
2023-10-25,"Los Angeles Clippers","Portland Trail Blazers","Home",1610612746,"LA","Clippers"
2023-10-26,"Philadelphia 76ers","Milwaukee Bucks","Away",1610612755,"Philadelphia","76ers"
2023-10-26,"Milwaukee Bucks","Philadelphia 76ers","Home",1610612749,"Milwaukee","Bucks"
2023-10-26,"Phoenix Suns","Los Angeles Lakers","Away",1610612756,"Phoenix","Suns"
2023-10-26,"Los Angeles Lakers","Phoenix Suns","Home",1610612747,"Los Angeles","Lakers"
2023-10-27,"Denver Nuggets","Memphis Grizzlies","Away",1610612743,"Denver","Nuggets"
2023-10-27,"Memphis Grizzlies","Denver Nuggets","Home",1610612763,"Memphis","Grizzlies"
2023-10-27,"Detroit Pistons","Charlotte Hornets","Away",1610612765,"Detroit","Pistons"
2023-10-27,"Charlotte Hornets","Detroit Pistons","Home",1610612766,"Charlotte","Hornets"
2023-10-27,"New York Knicks","Atlanta Hawks","Away",1610612752,"New York","Knicks"
2023-10-27,"Atlanta Hawks","New York Knicks","Home",1610612737,"Atlanta","Hawks"
2023-10-27,"Oklahoma City Thunder","Cleveland Cavaliers","Away",1610612760,"Oklahoma City","Thunder"
2023-10-27,"Cleveland Cavaliers","Oklahoma City Thunder","Home",1610612739,"Cleveland","Cavaliers"
2023-10-27,"Miami Heat","Boston Celtics","Away",1610612748,"Miami","Heat"
2023-10-27,"Boston Celtics","Miami Heat","Home",1610612738,"Boston","Celtics"
2023-10-27,"Toronto Raptors","Chicago Bulls","Away",1610612761,"Toronto","Raptors"
2023-10-27,"Chicago Bulls","Toronto Raptors","Home",1610612741,"Chicago","Bulls"
2023-10-27,"Houston Rockets","San Antonio Spurs","Away",1610612745,"Houston","Rockets"
2023-10-27,"San Antonio Spurs","Houston Rockets","Home",1610612759,"San Antonio","Spurs"
2023-10-27,"Brooklyn Nets","Dallas Mavericks","Away",1610612751,"Brooklyn","Nets"
2023-10-27,"Dallas Mavericks","Brooklyn Nets","Home",1610612742,"Dallas","Mavericks"
2023-10-27,"Los Angeles Clippers","Utah Jazz","Away",1610612746,"LA","Clippers"
2023-10-27,"Utah Jazz","Los Angeles Clippers","Home",1610612762,"Utah","Jazz"
2023-10-27,"Orlando Magic","Portland Trail Blazers","Away",1610612753,"Orlando","Magic"
2023-10-27,"Portland Trail Blazers","Orlando Magic","Home",1610612757,"Portland","Trail Blazers"
2023-10-27,"Golden State Warriors","Sacramento Kings","Away",1610612744,"Golden State","Warriors"
2023-10-27,"Sacramento Kings","Golden State Warriors","Home",1610612758,"Sacramento","Kings"
2023-10-28,"Chicago Bulls","Detroit Pistons","Away",1610612741,"Chicago","Bulls"
2023-10-28,"Detroit Pistons","Chicago Bulls","Home",1610612765,"Detroit","Pistons"
2023-10-28,"Memphis Grizzlies","Washington Wizards","Away",1610612763,"Memphis","Grizzlies"
2023-10-28,"Washington Wizards","Memphis Grizzlies","Home",1610612764,"Washington","Wizards"
2023-10-28,"New York Knicks","New Orleans Pelicans","Away",1610612752,"New York","Knicks"
2023-10-28,"New Orleans Pelicans","New York Knicks","Home",1610612740,"New Orleans","Pelicans"
2023-10-28,"Indiana Pacers","Cleveland Cavaliers","Away",1610612754,"Indiana","Pacers"
2023-10-28,"Cleveland Cavaliers","Indiana Pacers","Home",1610612739,"Cleveland","Cavaliers"
2023-10-28,"Philadelphia 76ers","Toronto Raptors","Away",1610612755,"Philadelphia","76ers"
2023-10-28,"Toronto Raptors","Philadelphia 76ers","Home",1610612761,"Toronto","Raptors"
2023-10-28,"Miami Heat","Minnesota Timberwolves","Away",1610612748,"Miami","Heat"
2023-10-28,"Minnesota Timberwolves","Miami Heat","Home",1610612750,"Minnesota","Timberwolves"
2023-10-28,"Utah Jazz","Phoenix Suns","Away",1610612762,"Utah","Jazz"
2023-10-28,"Phoenix Suns","Utah Jazz","Home",1610612756,"Phoenix","Suns"
2023-10-29,"Denver Nuggets","Oklahoma City Thunder","Away",1610612743,"Denver","Nuggets"
2023-10-29,"Oklahoma City Thunder","Denver Nuggets","Home",1610612760,"Oklahoma City","Thunder"
2023-10-29,"Golden State Warriors","Houston Rockets","Away",1610612744,"Golden State","Warriors"
2023-10-29,"Houston Rockets","Golden State Warriors","Home",1610612745,"Houston","Rockets"
2023-10-29,"Atlanta Hawks","Milwaukee Bucks","Away",1610612737,"Atlanta","Hawks"
2023-10-29,"Milwaukee Bucks","Atlanta Hawks","Home",1610612749,"Milwaukee","Bucks"
2023-10-29,"Portland Trail Blazers","Philadelphia 76ers","Away",1610612757,"Portland","Trail Blazers"
2023-10-29,"Philadelphia 76ers","Portland Trail Blazers","Home",1610612755,"Philadelphia","76ers"
2023-10-29,"San Antonio Spurs","Los Angeles Clippers","Away",1610612759,"San Antonio","Spurs"
2023-10-29,"Los Angeles Clippers","San Antonio Spurs","Home",1610612746,"LA","Clippers"
2023-10-29,"Los Angeles Lakers","Sacramento Kings","Away",1610612747,"Los Angeles","Lakers"
2023-10-29,"Sacramento Kings","Los Angeles Lakers","Home",1610612758,"Sacramento","Kings"
2023-10-30,"Chicago Bulls","Indiana Pacers","Away",1610612741,"Chicago","Bulls"
2023-10-30,"Indiana Pacers","Chicago Bulls","Home",1610612754,"Indiana","Pacers"
2023-10-30,"Boston Celtics","Washington Wizards","Away",1610612738,"Boston","Celtics"
2023-10-30,"Washington Wizards","Boston Celtics","Home",1610612764,"Washington","Wizards"
2023-10-30,"Brooklyn Nets","Charlotte Hornets","Away",1610612751,"Brooklyn","Nets"
2023-10-30,"Charlotte Hornets","Brooklyn Nets","Home",1610612766,"Charlotte","Hornets"
2023-10-30,"Portland Trail Blazers","Toronto Raptors","Away",1610612757,"Portland","Trail Blazers"
2023-10-30,"Toronto Raptors","Portland Trail Blazers","Home",1610612761,"Toronto","Raptors"
2023-10-30,"Minnesota Timberwolves","Atlanta Hawks","Away",1610612750,"Minnesota","Timberwolves"
2023-10-30,"Atlanta Hawks","Minnesota Timberwolves","Home",1610612737,"Atlanta","Hawks"
2023-10-30,"Dallas Mavericks","Memphis Grizzlies","Away",1610612742,"Dallas","Mavericks"
2023-10-30,"Memphis Grizzlies","Dallas Mavericks","Home",1610612763,"Memphis","Grizzlies"
2023-10-30,"Miami Heat","Milwaukee Bucks","Away",1610612748,"Miami","Heat"
2023-10-30,"Milwaukee Bucks","Miami Heat","Home",1610612749,"Milwaukee","Bucks"
2023-10-30,"Golden State Warriors","New Orleans Pelicans","Away",1610612744,"Golden State","Warriors"
