R#,NAME,TOTAL,POS,TEAM,GP,PTS,OREB,DREB,AST,STL,BLK,3:00 PM,FGM,FGA,FTM,FTA,TO,DD,TD
1,Nikola Jokic,66.08,C,DEN,72,26.2,2.4,10.2,8.7,1.3,0.8,1.1,9.9,15.9,5.4,6.5,4,0.9,0.3
2,Luka Doncic,61.1,PG,DAL,64,32.1,0.8,8.4,8.5,1.2,0.5,3.2,10.8,22,7.4,9.5,3.8,0.6,0.2
3,Joel Embiid,59.18,C,PHI,67,32.6,1.8,8.4,4.2,1.1,1.6,1.2,10.8,20,9.9,11.9,3.3,0.6,0
4,Giannis Antetokounmpo,56.17,"PF,C",MIL,65,28.3,2.1,9.6,5.7,1.1,1,0.9,9.7,17.1,8,11.8,3.4,0.7,0.1
5,Tyrese Haliburton,54.92,"PG,SG",IND,73,23.3,0.7,3.2,10.5,1.7,0.4,2.8,9,18.4,2.6,3,2.6,0.4,0
6,Anthony Davis,54.3,"PF,C",LAL,60,24.3,3.1,8.1,2.8,1.1,2.1,0.3,9.3,17,5.3,7,2.1,0.6,0
7,Domantas Sabonis,53.17,"PF,C",SAC,72,19.5,3.2,9.1,7.3,0.9,0.5,0.5,7.4,12.2,4.1,5.5,3,0.8,0.1
8,Jayson Tatum,51.46,"SF,PF",BOS,75,29.8,1,7.2,4.8,1.1,0.7,3.3,10,21.1,6.6,7.7,3,0.4,0
9,Devin Booker,51.16,"SG,SF",PHO,68,27.2,0.8,4.2,8.3,1.1,0.4,2.3,9.8,20.1,5.3,6.1,2.6,0.1,0
10,LaMelo Ball,50.71,"PG,SG",CHA,69,22.4,1.1,5.2,9.4,1.7,0.4,3.6,7.9,18.4,3.1,3.7,3.7,0.4,0.1
11,Shai Gilgeous-Alexander,50.01,"PG,SG",OKC,67,29.6,0.8,4.2,5.6,1.5,0.9,1,9.7,20,9.2,10.4,2.9,0.1,0
12,Scottie Barnes,48.29,"SF,PF",TOR,76,20.5,2.8,6.1,5.8,1.1,1,1.4,7.9,16.4,3.3,4.2,2.1,0.2,0
13,Stephen Curry,47.38,"PG,SG",GS,65,28,0.6,5,5.6,0.9,0.3,4.7,9.4,19.8,4.5,4.9,3.3,0.2,0
14,Kyrie Irving,46.39,"PG,SG",DAL,62,23.6,0.8,3.9,6.4,1.2,0.7,2.5,8.6,18,4,4.4,2.2,0.1,0
15,Ja Morant,46.09,PG,MEM,48,26.5,1.2,4.6,7.1,1.1,0.3,1.5,9.6,20.2,5.8,7.7,3.4,0.3,0.1
16,Tyrese Maxey,45.96,"PG,SG",PHI,70,24.9,0.4,4.3,5.8,0.9,0.3,3.3,9.2,18.8,3.3,3.8,1.4,0,0
17,LeBron James,45.68,"SF,PF",LAL,56,25.1,1,6.1,5.6,0.8,0.5,2.2,9.5,19,3.9,5.2,2.9,0.4,0.1
18,Donovan Mitchell,45.66,"PG,SG",CLE,69,27.7,0.9,3.5,4.4,1.5,0.3,3.6,9.8,20.5,4.5,5.2,2.7,0.1,0
19,Kevin Durant,45.43,"SF,PF",PHO,60,25.3,0.4,6,5,0.7,1,1.9,8.8,16.8,5.9,6.6,3.1,0.2,0.1
