ID,Player,Team,Position,RkOv,Status,FPts,FP/G,GP,FGM,FGA,3PTM,FTM,FTA,PTS,OREB,DREB,AST,ST,BLK,TO,3D,2D
*03e75*,Nikola Jokic,DEN,C,1,Joker,4242.8,58.12,73,716.8,1292.4,97.2,315.8,375.4,1845.3,181.5,577.9,567.8,99.4,49.7,227.1,0,0
*03al2*,Joel Embiid,PHI,C,2,Bosco07,3716.4,54.65,68,676.9,1346.7,82.6,676.3,809.9,2115.6,177.1,642.7,191.7,79.3,105.8,238,0,0
*027p0*,Nikola Vucevic,CHI,C,3,MackieG,3681.1,49.08,75,715.4,1487.5,185.6,144.5,178.5,1763.8,165.1,713.2,290.4,70.8,49.6,141.7,0,0
*042n7*,Domantas Sabonis,SAC,F,4,BAL,3619.6,49.58,73,568.6,1046.8,56.9,266.5,363.5,1460,204,679.3,511,87.6,36.5,248.2,0,0
*01enh*,Stephen Curry,GS,G,5,kabird3,3590,54.39,66,711.5,1504.8,373.6,367,408.5,2164.8,33.1,356.3,389.4,92.4,13.2,224.4,0,0
*04qrk*,Trae Young,ATL,G,6,BAL,3542.5,46.61,76,646,1466.8,181.6,573,648.3,2044.4,54.2,272.6,752.4,68.4,15.2,326.8,0,0
*031m2*,Giannis Antetokounmpo,MIL,F,7,Aforbes9,3433.6,53.65,64,628.3,1107.2,78.3,390.7,568.7,1725,110.6,589.3,347.2,66.1,71.6,198.4,0,0
*04kj6*,Luka Doncic,DAL,G,8,Jackgall,3430.6,52.78,65,645.2,1351.1,192.1,346.3,480.9,1826.3,65.6,490.5,562.4,63.2,37.9,271.7,0,0
*03xmv*,Jayson Tatum,BOS,F,9,BigKeith,3361.1,45.42,74,691.1,1482.3,226.4,319.7,381.1,1931.4,77.2,470.4,288.6,88.8,44.4,185,0,0
*03ams*,Zach LaVine,CHI,G,10,Joker,3356.4,44.75,75,757,1522.4,272.9,318.4,385.4,2104.4,44.8,348.3,370,77.1,38.5,292.9,0,0
*01eo6*,James Harden,PHI,G,11,BigKeith,3349,50.74,66,440.3,961.2,173.7,469.4,551.5,1526.3,47.7,454.3,617.3,95,47.5,271.3,0,0
*005kc*,Russell Westbrook,LAC,G,12,BigKeith,3314.8,44.2,75,535.6,1182.5,85,260.6,381.3,1418.8,117.5,557.6,706.3,81.3,18.8,281.3,0,0
*04ewe*,Donovan Mitchell,CLE,G,13,amoore31,3287.1,46.96,70,702.9,1559.8,264,420.9,486.3,2086.4,69.7,268.5,381.3,79.1,21.6,208.6,0,0
*02nf6*,Damian Lillard,MIL,G,14,amoore31,3225.7,48.87,66,586.8,1304.5,273.4,437.5,476.9,1885.8,29.3,255.6,488.4,67.8,20.4,203.5,0,0
*03ad3*,Karl-Anthony Towns,MIN,C,15,Aforbes9,3194.6,46.3,69,564.8,1156.7,153.3,345.3,409.1,1625.3,169.9,529.3,282.1,55.2,73.6,220.8,0,0
*03ajv*,Julius Randle,NY,F,16,Bosco07,3177.9,42.37,75,616.6,1353,156.8,363,449.3,1755,92.2,627.8,397.5,67.5,22.5,247.5,0,0
